,Title,Artist
1위,Butter,방탄소년단
2위,Next Level,aespa
3위,Dun Dun Dance,오마이걸(OH MY GIRL)
4위,헤픈 우연,헤이즈(Heize)
5위,ASAP,STAYC(스테이씨)
6위,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)"
7위,라일락,아이유(IU)
8위,"Peaches (feat. Daniel Caesar, Giveon)",Justin Bieber(저스틴 비버)
9위,마.피.아. In the morning,ITZY (있지)
10위,롤린 (Rollin'),브레이브걸스(Brave Girls)
11위,I Love U,성시경
12위,체념,"정상동기 (김정수, 정기석, 이동휘, 이상이)"
13위,상상더하기,라붐(LABOUM)
14위,Celebrity,아이유(IU)
15위,운전만해 (We Ride),브레이브걸스(Brave Girls)
16위,Je T′aime,조이 (JOY)
17위,Off My Face,Justin Bieber(저스틴 비버)
18위,Timeless,SG워너비
19위,만약에,"M.O.M (별루지, 강창모, 박재정, 원슈타인)"
20위,Dynamite,방탄소년단
21위,처음처럼 (Feat. 개리),헤이즈(Heize)
22위,서울의 잠 못 이루는 밤 (Feat. 이수현),10CM
23위,"친구, 그 오랜시간",정승환
24위,어푸 (Ah puh),아이유(IU)
25위,Coin,아이유(IU)
26위,Black Mamba,aespa
27위,Kiss Me More (feat. SZA),Doja Cat(도자 캣)
28위,너를 사랑했던 시간,성시경
29위,If You Love Me (Feat. 주헌 (몬스타엑스)),NS Yoon-G
30위,맛 (Hot Sauce),NCT DREAM
31위,감기 (Feat. 창모),헤이즈(Heize)
32위,그냥 안아달란 말야,다비치
33위,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
34위,라라라,SG워너비
35위,On The Ground,로제(ROSÉ)
36위,내사람: Partner For Life,SG워너비
37위,에잇(Prod.&Feat. SUGA of BTS),아이유(IU)
38위,parachute,John K
39위,우리 한 때 사랑한 건,성시경
40위,Leave The Door Open,Bruno Mars(브루노 마스)
41위,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
42위,내 손을 잡아,아이유(IU)
43위,멜로디,ASH ISLAND
44위,Dolphin,오마이걸(OH MY GIRL)
45위,At My Worst,Pink Sweat$
46위,Beautiful Mistakes,Maroon 5(마룬 파이브)
47위,Lovesick Girls,BLACKPINK
48위,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션)
49위,널 잊는 기적은 없었다,성시경
50위,고래 (Dive Into You),NCT DREAM
51위,아이와 나의 바다,아이유(IU)
52위,밤하늘의 별을(2020),경서
53위,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭
54위,Like 1999,Valley
55위,Blueming,아이유(IU)
56위,미안해 널 사랑해 (Feat. 김필),헤이즈(Heize)
57위,12:45 (Stripped),Etham
58위,러브레터,정승환
59위,비도 오고 그래서 (Feat. 신용재),헤이즈(Heize)
60위,살다가,SG워너비
61위,이음새,성시경
62위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
63위,잠이 오질 않네요,장범준
64위,닫힌엔딩 (Closed Ending),숀(SHAUN)
65위,Life Goes On,방탄소년단
66위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
67위,방랑자,성시경
68위,Advice,태민 (TAEMIN)
69위,살짝 설렜어 (Nonstop),오마이걸(OH MY GIRL)
70위,불어온다,하이라이트(Highlight)
71위,별빛 같은 나의 사랑아,임영웅
72위,그런 사람,정승환
73위,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시
74위,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
75위,취기를 빌려 (취향저격 그녀 X 산들),산들
76위,그대를 사랑하는 10가지 이유(2021),이석훈
77위,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM
78위,파도,폴킴(Paul Kim)
79위,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재
80위,Flu,아이유(IU)
81위,WE GO,프로미스나인
82위,밝게 빛나는 별이 되어 비춰줄게,송이한
83위,밤편지,아이유(IU)
84위,봄 안녕 봄,아이유(IU)
85위,Bang!,AJR
86위,Why,헤이즈(Heize)
87위,2002,Anne-Marie(앤 마리)
88위,METEOR,창모(CHANGMO)
89위,이제 나만 믿어요,임영웅
90위,돌림노래 (Feat. DEAN),아이유(IU)
91위,빗물에게 들으니 (Feat. 안예은),헤이즈(Heize)
92위,죄와 벌,SG워너비
93위,너의 모든 순간,성시경
94위,봄을 지나며,정승환
95위,마음을 담아,성시경
96위,365&7 (Feat. JAMIE),pH-1
97위,그대가 있다면,정승환
98위,별이 뜬 곳에 (바니와 오빠들 X 양다일),양다일
99위,안녕이란 (Two Letters),황치열
100위,신호등,이무진
