,Title
1위,분노의 질주: 더 얼티메이트
2위,크루엘라
3위,파이프라인
4위,보이저스
5위,극장판 귀멸의 칼날: 무한열차편
6위,도라에몽: 스탠바이미 2
7위,스파이럴
8위,아미 오브 더 데드
9위,비와 당신의 이야기
10위,애플
11위,더 스파이
12위,500일의 썸머
13위,라이더스 오브 저스티스
14위,혼자 사는 사람들
15위,노매드랜드
16위,굴뚝마을의 푸펠
17위,컨저링 3: 악마가 시켰다
18위,크루즈 패밀리: 뉴 에이지
19위,캐시트럭
20위,인트로덕션
21위,미나리
22위,이터널스
23위,내일의 기억
24위,아들의 이름으로
25위,내가 죽기를 바라는 자들
26위,프로페서 앤 매드맨
27위,브리짓 존스의 일기
28위,극장판 콩순이: 장난감나라 대모험
29위,베놈 2: 렛 데어 비 카니지
30위,써니
31위,쇼크 웨이브 2
32위,썰
33위,콰이어트 플레이스 2
34위,"좋은 빛, 좋은 공기"
35위,잭 스나이더의 저스티스 리그
36위,낫아웃
37위,발신제한
38위,2067
39위,아이들은 즐겁다
40위,킬러의 보디가드 2
41위,명탐정 코난: 비색의 탄환
42위,인셉션
43위,분노의 질주: 더 세븐
44위,그린 북
45위,노바디 
46위,여고괴담 여섯번째 이야기 : 모교
47위,자산어보
48위,진범
49위,범죄도시2
50위,어른들은 몰라요
